COWNNUM,OCCPCODE,CLTSEX,MARRYD,CLTTYPE,BILLCHNL,Count_product,Age_Product1,Age,Product_1,Product_2
2599,1516,F,M,P,C,1,1,31,01_Endowment,01_Endowment
4931,1078,F,M,P,C,1,1,46,05_ILP 2016 - Prulink,01_Endowment
9093,2309,F,M,P,C,1,1,33,02_CI Endowment,01_Endowment
12712,1830,F,M,P,C,1,6,39,01_Endowment,01_Endowment
90246,2309,F,M,P,C,1,14,31,01_Endowment,01_Endowment
108325,448,F,S,P,C,1,1,44,02_CI Endowment,01_Endowment
128428,218,F,M,P,C,1,19,30,09_Level Term Stand Alone,01_Endowment
162202,1090,M,M,P,C,1,1,49,02_CI Endowment,01_Endowment
189540,997,F,M,P,C,1,2,50,01_Endowment,01_Endowment
207415,1078,F,M,P,C,1,5,50,02_CI Endowment,01_Endowment
291554,1516,M,M,P,C,1,1,43,02_CI Endowment,01_Endowment
293220,2019,F,M,P,C,1,9,46,01_Endowment,01_Endowment
331075,218,F,M,P,C,1,4,43,02_CI Endowment,01_Endowment
429210,2309,F,M,P,C,1,7,51,02_CI Endowment,01_Endowment
457244,2309,F,M,P,C,1,1,73,05_ILP 2016 - Prulink,01_Endowment
464400,1078,F,M,P,C,1,6,41,02_CI Endowment,01_Endowment
597137,1078,F,M,P,C,1,4,62,03_Universal life,01_Endowment
627131,1078,M,M,P,C,1,19,42,09_Level Term Stand Alone,01_Endowment
631776,2499,F,M,P,C,1,19,35,01_Endowment,01_Endowment
662038,2309,F,M,P,C,1,2,57,02_CI Endowment,01_Endowment
681232,2025,F,M,P,C,1,5,48,01_Endowment,01_Endowment
781817,2309,M,M,P,C,1,4,51,05_ILP 2016 - Prulink,01_Endowment
812068,218,F,M,P,C,1,4,42,02_CI Endowment,01_Endowment
836717,2309,F,M,P,C,1,6,62,03_Universal life,01_Endowment
840453,2309,F,M,P,C,1,18,50,09_Level Term Stand Alone,01_Endowment
843085,1078,F,M,P,C,1,3,40,02_CI Endowment,01_Endowment
860196,1078,M,M,P,C,1,1,42,01_Endowment,01_Endowment
875698,218,M,M,P,B,1,17,28,09_Level Term Stand Alone,01_Endowment
908548,218,F,M,P,C,1,3,53,02_CI Endowment,01_Endowment
920654,1830,F,D,P,C,1,3,52,02_CI Endowment,01_Endowment
957486,555,M,M,P,C,1,17,40,09_Level Term Stand Alone,01_Endowment
990696,213,F,M,P,C,1,0,46,02_CI Endowment,01_Endowment
1013578,2499,F,M,P,C,1,0,46,02_CI Endowment,01_Endowment
1046092,1090,M,M,P,C,1,5,45,01_Endowment,01_Endowment
1080336,2499,F,M,P,C,1,1,45,05_ILP 2016 - Prulink,01_Endowment
1092633,2309,F,M,P,C,1,2,54,02_CI Endowment,01_Endowment
1093331,2499,F,M,P,C,1,1,39,01_Endowment,01_Endowment
1119982,1830,F,M,P,C,1,7,42,01_Endowment,01_Endowment
1129713,218,F,M,P,C,1,3,44,02_CI Endowment,01_Endowment
1161178,1078,F,M,P,C,1,1,57,02_CI Endowment,01_Endowment
1172981,1450,F,M,P,B,1,3,38,02_CI Endowment,01_Endowment
1178818,1078,F,M,P,C,1,2,58,05_ILP 2016 - Prulink,01_Endowment
1214807,1516,M,M,P,C,1,10,40,01_Endowment,01_Endowment
1258885,218,F,M,P,C,1,10,26,01_Endowment,01_Endowment
1366413,218,F,M,P,C,1,5,41,02_CI Endowment,01_Endowment
1396563,1078,F,M,P,C,1,9,40,07_Single,01_Endowment
1405552,1489,M,M,P,C,1,7,41,03_Universal life,01_Endowment
1482276,218,M,S,P,C,1,1,35,01_Endowment,01_Endowment
1581625,218,F,M,P,C,1,12,26,01_Endowment,01_Endowment
1626300,218,F,U,P,C,1,9,40,01_Endowment,01_Endowment
1628728,218,F,M,P,C,1,18,31,01_Endowment,01_Endowment
1640103,997,F,M,P,C,1,1,52,02_CI Endowment,01_Endowment
1730845,1450,F,M,P,C,1,14,28,01_Endowment,01_Endowment
1765282,1078,F,M,P,C,1,12,30,01_Endowment,01_Endowment
10001286,1078,F,M,P,C,1,1,37,01_Endowment,01_Endowment
10001594,1516,F,M,P,C,1,1,33,01_Endowment,01_Endowment
10002061,448,F,S,P,C,1,1,28,01_Endowment,01_Endowment
10002068,1078,F,M,P,C,1,1,43,04_PruCare Plus,01_Endowment
10002810,1078,F,M,P,C,1,1,37,02_CI Endowment,01_Endowment
10003361,1078,F,M,P,C,1,1,50,02_CI Endowment,01_Endowment
10003503,2025,F,M,P,C,1,1,38,01_Endowment,01_Endowment
10003932,2025,M,S,P,C,1,1,33,01_Endowment,01_Endowment
10005245,1516,M,M,P,C,1,1,24,01_Endowment,01_Endowment
10005455,1516,F,M,P,C,1,1,32,05_ILP 2016 - Prulink,01_Endowment
10005787,1516,F,M,P,C,1,1,45,02_CI Endowment,01_Endowment
10005867,2309,F,S,P,C,1,1,54,05_ILP 2016 - Prulink,01_Endowment
10006312,218,F,M,P,C,1,1,31,05_ILP 2016 - Prulink,01_Endowment
10006537,2309,F,M,P,C,1,1,40,01_Endowment,01_Endowment
10006627,801,M,M,P,C,1,1,36,01_Endowment,01_Endowment
10007168,1516,M,S,P,C,1,1,28,05_ILP 2016 - Prulink,01_Endowment
10007852,801,F,M,P,C,1,1,31,01_Endowment,01_Endowment
10007865,1516,F,M,P,C,1,1,44,02_CI Endowment,01_Endowment
10008528,1078,F,M,P,C,1,1,34,01_Endowment,01_Endowment
10008620,2025,F,M,P,C,1,1,32,01_Endowment,01_Endowment
10008679,2309,F,M,P,C,1,1,50,01_Endowment,01_Endowment
10008779,1078,M,M,P,C,1,1,58,02_CI Endowment,01_Endowment
10008786,1090,M,M,P,C,1,1,38,01_Endowment,01_Endowment
10009472,1078,F,M,P,C,1,1,30,01_Endowment,01_Endowment
10009588,376,M,M,P,C,1,1,38,01_Endowment,01_Endowment
10009634,1078,F,M,P,C,1,0,54,02_CI Endowment,01_Endowment
10009660,218,M,M,P,C,1,1,31,01_Endowment,01_Endowment
10009698,218,F,M,P,C,1,1,34,05_ILP 2016 - Prulink,01_Endowment
10012165,1078,M,M,P,C,1,1,42,01_Endowment,01_Endowment
10012357,1078,F,M,P,C,1,1,34,02_CI Endowment,01_Endowment
10012787,218,F,S,P,C,1,1,27,02_CI Endowment,01_Endowment
10013087,376,M,M,P,C,1,1,36,01_Endowment,01_Endowment
10013144,376,M,M,P,C,1,1,33,01_Endowment,01_Endowment
10013530,1078,M,M,P,C,1,1,33,01_Endowment,01_Endowment
10014211,2025,F,M,P,C,1,1,36,02_CI Endowment,01_Endowment
10014581,376,M,M,P,C,1,1,32,01_Endowment,01_Endowment
10015422,1078,F,M,P,C,1,1,32,01_Endowment,01_Endowment
10015629,1078,M,M,P,C,1,1,47,01_Endowment,01_Endowment
10015704,1078,F,M,P,C,1,1,31,01_Endowment,01_Endowment
10015873,376,M,M,P,C,1,1,43,04_PruCare Plus,01_Endowment
10015931,1516,M,M,P,C,1,1,45,04_PruCare Plus,01_Endowment
10016007,218,F,M,P,B,1,1,36,02_CI Endowment,01_Endowment
